'd__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Benthic_Group_D_and_DHVEG-1;f__Marine_Benthic_Group_D_and_DHVEG-1;g__Marine_Benthic_Group_D_and_DHVEG-1;s__uncultured_archaeon'
'd__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus_Nitrosopumilus;s__uncultured_archaeon'
'd__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__Bathyarchaeia;f__Bathyarchaeia;g__Bathyarchaeia;s__uncultured_archaeon'
'd__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales;__'
'd__Archaea;__;__;__;__;__;__'
'd__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__Aenigmarchaeales;g__Aenigmarchaeales;s__uncultured_archaeon'
'd__Archaea;p__Aenigmarchaeota;c__Deep_Sea_Euryarchaeotic_Group(DSEG);o__Deep_Sea_Euryarchaeotic_Group(DSEG);f__Deep_Sea_Euryarchaeotic_Group(DSEG);g__Deep_Sea_Euryarchaeotic_Group(DSEG);s__uncultured_archaeon'
'd__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Lokiarchaeia;f__Lokiarchaeia;g__Lokiarchaeia;s__uncultured_archaeon'
'd__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus_Nitrosopumilus;__'
'd__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaeraceae;s__uncultured_archaeon'
'd__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__SCGC_AAA011-D5;g__SCGC_AAA011-D5;__'
'd__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__SCGC_AAA011-D5;g__SCGC_AAA011-D5;s__uncultured_euryarchaeote'
'd__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales;s__uncultured_archaeon'
'd__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Benthic_Group_D_and_DHVEG-1;f__Marine_Benthic_Group_D_and_DHVEG-1;g__Marine_Benthic_Group_D_and_DHVEG-1;s__uncultured_Thermoplasmatales'
'd__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__uncultured;f__uncultured;g__uncultured;s__uncultured_archaeon'
'd__Archaea;p__Aenigmarchaeota;__;__;__;__;__'
'd__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__Aenigmarchaeales;__;__'
'd__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__Aenigmarchaeales;g__Aenigmarchaeales;__'
'd__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__Aenigmarchaeales;g__Candidatus_Aenigmarchaeum;s__uncultured_archaeon'
'd__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__Aenigmarchaeales;g__Candidatus_Aenigmarchaeum;s__uncultured_marine'
'd__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeota;o__Aenigmarchaeota;f__Aenigmarchaeota;g__Aenigmarchaeota;s__uncultured_Methanococcales'
'd__Archaea;p__Aenigmarchaeota;c__Deep_Sea_Euryarchaeotic_Group(DSEG);o__Deep_Sea_Euryarchaeotic_Group(DSEG);f__Deep_Sea_Euryarchaeotic_Group(DSEG);g__Deep_Sea_Euryarchaeotic_Group(DSEG);__'
'd__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae;g__Candidatus_Altiarchaeum;s__uncultured_archaeon'
'd__Archaea;p__Asgardarchaeota;__;__;__;__;__'
'd__Archaea;p__Asgardarchaeota;c__Asgardarchaeota;o__Asgardarchaeota;f__Asgardarchaeota;g__Asgardarchaeota;s__uncultured_archaeon'
'd__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeia;f__Heimdallarchaeia;g__Heimdallarchaeia;s__uncultured_archaeon'
'd__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Lokiarchaeia;f__Lokiarchaeia;g__Lokiarchaeia;__'
'd__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Lokiarchaeia;f__Lokiarchaeia;g__Lokiarchaeia;s__Lokiarchaeum_sp.'
'd__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Lokiarchaeia;f__Lokiarchaeia;g__Lokiarchaeia;s__uncultured_crenarchaeote'
'd__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Lokiarchaeia;f__Lokiarchaeia;g__Lokiarchaeia;s__uncultured_Desulfurococcus'
'd__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Lokiarchaeia;f__Lokiarchaeia;g__Lokiarchaeia;s__uncultured_euryarchaeote'
'd__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Lokiarchaeia;f__Lokiarchaeia;g__Lokiarchaeia;s__uncultured_marine'
'd__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Lokiarchaeia;f__Lokiarchaeia;g__Lokiarchaeia;s__unidentified_archaeon'
'd__Archaea;p__Asgardarchaeota;c__Odinarchaeia;o__Odinarchaeia;f__Odinarchaeia;g__Odinarchaeia;__'
