1AP_nano,1AS_nano,1BP_nano,1BS_nano,1CP_nano,1CS_nano,2AP_nano,2AS_nano,2BP_nano,2BS_nano,2CP_nano,2CS_nano,3AP_nano,3AS_nano,3BP_nano,3BS_nano,3CP_nano,3CS_nano,4AP_nano,4AS_nano,4BP_nano,4BS_nano,4CP_nano,4CS_nano,5AP_nano,5AS_nano,5BP_nano,5BS_nano,5CP_nano,5CS_nano,6AP_nano,6AS_nano,6BP_nano,6BS_nano,6CP_nano,6CS_nano,7AP_nano,7AS_nano,7BP_nano,7BS_nano,7CP_nano,7CS_nano,8AP_nano,8AS_nano,8BP_nano,8BS_nano,8CP_nano,8CS_nano,9AP_nano,9AS_nano,9BP_nano,9BS_nano,9CP_nano,9CS_nano
4,0,1,1,5,0,39,0,13,0,8,0,26,0,19,0,39,0,5,0,5,0,3,0,31,0,37,0,1,0,32,5,28,2,38,0,6,0,17,0,3,0,7,0,42,0,16,2,63,0,104,3,115,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,1,1,1,12,0,16,0,10,1,11,2,5,1,4,0,3,0,2,0,10,0,3,0,7,4,3,0,0,0,14,5,3,3,5,3,6,0,9,0,4,0,8,5,4,5,3,8,4,9,5,2,14,2
0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
9,1,1,0,1,1,7,0,2,6,6,1,4,1,3,0,4,0,0,0,4,0,1,0,2,1,0,0,0,1,1,3,5,3,7,5,3,0,4,0,0,0,3,4,5,0,3,4,9,6,5,0,13,4
39,8,14,1,15,0,69,0,28,3,58,0,63,0,29,0,34,3,11,0,34,6,23,0,93,0,44,0,3,0,48,15,45,1,58,8,31,0,23,1,17,3,22,4,79,5,21,1,97,39,85,23,53,5
6,2,1,0,5,0,9,1,1,1,6,0,1,0,4,0,0,1,1,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,6,1,5,0,6,1,2,0,1,10,6,0,1,1,0,0,6,2,1,9
3,2,1,0,6,1,9,0,1,4,5,0,8,0,4,0,5,0,0,0,3,1,4,0,4,10,1,1,0,2,6,7,5,0,2,2,5,0,11,0,5,0,6,10,10,2,6,1,9,11,8,2,16,2
9,12,3,13,3,8,0,8,4,5,8,0,2,3,0,4,4,30,6,8,9,8,9,8,12,7,9,0,7,7,5,8,2,11,8,3,18,0,5,3,5,8,2,2,2,7,1,3,7,12,6,28,12,8
357,397,127,314,249,106,617,192,495,247,799,21,719,73,305,123,592,339,248,114,623,156,305,82,1081,251,750,97,46,254,616,554,800,213,1117,123,840,0,581,68,394,237,311,166,1149,219,345,286,1170,477,1635,1199,1475,509
3,0,15,0,8,0,17,1,31,0,19,0,43,0,26,0,37,0,4,0,7,8,7,1,35,0,12,0,1,0,39,0,41,0,50,0,2,0,0,2,6,1,16,0,29,8,2,0,77,0,67,0,115,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,1,0,3,0,3,0,0,0,0,0,1,0,3,0,3,0,1,0,1,0,0,0,2,0,1,0,3,0,4,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
19,15,2,17,13,6,40,8,21,9,59,8,25,15,13,22,19,121,17,21,32,8,14,7,41,19,37,6,0,35,22,65,42,43,45,26,35,0,21,7,11,15,18,16,36,50,23,22,61,53,70,210,48,67
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,2,0,0,1,0,0,0,0,2,0,2,0,0,0,2,0,4,0,1,0,1,0,0
2,28,0,24,4,19,0,14,0,12,0,4,0,31,1,6,0,52,0,27,0,49,1,11,0,32,1,5,0,23,0,2,0,29,0,3,0,0,1,10,1,14,1,4,0,13,0,25,0,9,0,21,0,20
